id,college,branch,year,gsheet_src
1,NITG,CSE,FIRST,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2EQAbNGprnMjNGY9IqvYTqjE85a-SjeZQJWlVbvJWRcEEFPCOXCYcKTnBJFlgRjLVnzc0fHkQ9ryR/pubhtml
2,NITG,CSE,SECOND,https://docs.google.com/spreadsheets/d/e/2PACX-1vQfR-Mymw5fXyx-VAZ_V55fC8FvQ8M7SgWsu9givtJ0uEs4OyA68XYfPcf6aJVLMDrsbWPAZjgsK0nM/pubhtml
3,NITG,CSE,THIRD,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqTO7rV_mRAOukAQfSMeNafegoamTDmMOHEarEDXy0VtjFQhFRQDXBvBHiA7oxFuUNWUD-5dUgo12S/pubhtml
4,NITG,CSE,FOURTH,https://docs.google.com/spreadsheets/d/e/2PACX-1vRNgjjmogSZ72E5MuX6-UGFk5W94XzVg0JCMXUhN1WvMYzKCdemDXl7dfQT5N1ulelEZ6Zk4eNlbnYj/pubhtml
5,NITG,ECE,FIRST,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2EQAbNGprnMjNGY9IqvYTqjE85a-SjeZQJWlVbvJWRcEEFPCOXCYcKTnBJFlgRjLVnzc0fHkQ9ryR/pubhtml
6,NITG,ECE,SECOND,https://docs.google.com/spreadsheets/d/e/2PACX-1vTJ_qkwS5V5nld9lTRkXZ5PAYwa6BiCRiP0-p95XfPNy3qHwgAtU7w4ORjwx0qszm1OBgYbAhlDI5Oa/pubhtml
7,NITG,ECE,THIRD,https://docs.google.com/spreadsheets/d/e/2PACX-1vRY20wx7QDHZVVCGreB4htlkvWn-yojel66liw_XqdW1NaEmTHntRjcYrfXfCT01j23r-rkFznvbglO/pubhtml
8,NITG,ECE,FOURTH,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8ucNzGeiJ92GO_Dq3cQoqOfDNruNpIlajxwf_aWHsBFg07XMKWiBRVPHn3NsN2cBnc1f2dD2ALYtf/pubhtml
9,NITG,EEE,FIRST,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2EQAbNGprnMjNGY9IqvYTqjE85a-SjeZQJWlVbvJWRcEEFPCOXCYcKTnBJFlgRjLVnzc0fHkQ9ryR/pubhtml
10,NITG,EEE,SECOND,https://docs.google.com/spreadsheets/d/e/2PACX-1vQBQPGAWHo1drrWYdLqjM46IwXvGK7N8u56Zx5jT_oJpat159pi0pEMdckKL23TcWtJwuUYcRrVMAs7/pubhtml
11,NITG,EEE,THIRD,https://docs.google.com/spreadsheets/d/e/2PACX-1vRGDNr8rTF2rio33Wic0qdVM0N-KhacrzPj6WBNACvzN0zMt2bmTvd_ce9w8ofIJuhgKaXUt7iti1Df/pubhtml
12,NITG,EEE,FOURTH,https://docs.google.com/spreadsheets/d/e/2PACX-1vRLH3agganDhnKgKJ_QZFtJs_ruLAH2-rnmqiMkEN-7aG09zLK3cLkRMGzMcUEyLOKx2RiWWLYXQUkT/pubhtml
13,NITG,MCE,FIRST,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2EQAbNGprnMjNGY9IqvYTqjE85a-SjeZQJWlVbvJWRcEEFPCOXCYcKTnBJFlgRjLVnzc0fHkQ9ryR/pubhtml
14,NITG,MCE,SECOND,https://docs.google.com/spreadsheets/d/e/2PACX-1vRRQoEgdYIqTeseavv9GfMrwv6csT6CLquRYG_pzWUfNsIiEtZF8gf3by4zaBTl1EPpxIQj49y-4aVq/pubhtml
15,NITG,MCE,THIRD,https://docs.google.com/spreadsheets/d/e/2PACX-1vTeRUikUJt4-QKU1O_qYUP_fF66PgTQrZglNFgTIrjI5ucECJNz_YmAYzz7DMDwrbz7HfaGpjzKmFfj/pubhtml
16,NITG,MCE,FOURTH,https://docs.google.com/spreadsheets/d/e/2PACX-1vT-EdVb8CcspgvWeJaKgQm7TItCcee4gm9OIx3VvNykJpfgZcvqU8iKbizgDTc-PUQicifAGOB9SslO/pubhtml
17,NITG,CVE,FIRST,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2EQAbNGprnMjNGY9IqvYTqjE85a-SjeZQJWlVbvJWRcEEFPCOXCYcKTnBJFlgRjLVnzc0fHkQ9ryR/pubhtml
18,NITG,CVE,SECOND,https://docs.google.com/spreadsheets/d/e/2PACX-1vSpBTgRj5xFPwc_0bNlTWFo-ABEg3A92xp35oGgHtNtTKwn6aQKjJu6IPjlxMDCNLfOgJC8RTAe_W_e/pubhtml
19,NITG,CVE,THIRD,https://docs.google.com/spreadsheets/d/e/2PACX-1vTWFa0QSLS_wkuKbGbh9eZx_wEzSKmod4z9kh-5tL6oh8MhVlGNEu4UuufTs_8J3xF2TmHHJet3Mpym/pubhtml
20,NITG,CVE,FOURTH,https://docs.google.com/spreadsheets/d/e/2PACX-1vSYJVPclEb51FtmsFFAsLqxhZblbG2Eqvc61_V7DWLT3xIENpE3q36fU8uEm_-hk-dRvz5BhK7IejgA/pubhtml